date,time,open,high,low,close,volume
2015-01-01,09:15:00,439.30,440.10,438.15,439.40,164.95K
2015-01-01,09:45:00,439.30,440.30,437.65,438.75,155.202K
2015-01-01,10:15:00,438.75,439.10,438.00,438.95,81.964K
2015-01-01,10:45:00,438.80,439.05,438.20,438.35,58.942K
2015-01-01,11:15:00,438.35,439.55,438.30,439.25,46.543K
2015-01-01,11:45:00,439.20,440.45,439.15,439.80,95.271K
2015-01-01,12:15:00,439.80,440.10,439.50,439.80,112.256K
2015-01-01,12:45:00,439.80,440.10,439.35,439.60,76.839K
2015-01-01,13:15:00,439.55,440.00,439.45,439.65,61.984K
2015-01-01,13:45:00,439.65,440.05,439.45,439.80,49.422K
2015-01-01,14:15:00,439.80,441.80,439.75,441.30,131.859K
2015-01-01,14:45:00,441.20,441.30,439.55,440.05,132.525K
2015-01-01,15:15:00,440.05,440.05,439.25,439.80,192.704K
2015-01-02,09:15:00,440.15,443.80,439.80,443.05,315.479K
2015-01-02,09:45:00,443.05,443.30,441.50,441.80,179.002K
2015-01-02,10:15:00,441.80,442.80,441.10,441.60,159.966K
2015-01-02,10:45:00,441.75,442.80,441.25,442.25,142.406K
2015-01-02,11:15:00,442.30,442.55,441.15,441.40,139.046K
2015-01-02,11:45:00,441.30,441.75,440.55,441.60,163.602K
2015-01-02,12:15:00,441.60,442.25,440.90,440.95,147.956K
2015-01-02,12:45:00,440.95,442.05,440.60,441.05,213.481K
2015-01-02,13:15:00,441.20,441.80,440.85,441.30,188.792K
2015-01-02,13:45:00,441.30,441.50,440.05,440.15,457.815K
2015-01-02,14:15:00,440.25,440.60,439.80,439.90,223.31K
2015-01-02,14:45:00,439.90,440.35,438.35,439.05,333.352K
2015-01-02,15:15:00,439.15,439.25,438.00,438.30,696.726K
2015-01-05,09:15:00,438.35,440.75,436.55,439.80,635.331K
2015-01-05,09:45:00,440.05,441.20,439.60,439.85,213.064K
2015-01-05,10:15:00,439.85,441.25,438.85,439.40,281.06K
2015-01-05,10:45:00,439.70,440.05,438.80,438.85,152.273K
2015-01-05,11:15:00,438.85,438.90,436.35,437.20,401.705K
2015-01-05,11:45:00,437.35,437.85,435.85,437.85,372.087K
2015-01-05,12:15:00,437.80,438.00,436.95,437.10,176.38K
2015-01-05,12:45:00,437.10,437.75,436.05,436.05,179.584K
2015-01-05,13:15:00,436.20,436.95,436.05,436.50,214.732K
2015-01-05,13:45:00,436.65,438.70,436.35,436.60,380.183K
2015-01-05,14:15:00,436.60,436.75,433.85,434.35,504.965K
2015-01-05,14:45:00,434.45,434.75,432.95,433.85,641.424K
2015-01-05,15:15:00,433.85,434.10,433.40,433.60,478.387K
2015-01-06,09:15:00,431.40,432.40,425.00,425.35,898.678K
2015-01-06,09:45:00,425.55,425.80,423.95,424.45,488.366K
2015-01-06,10:15:00,424.65,424.75,423.00,423.75,539.645K
2015-01-06,10:45:00,423.75,424.35,422.50,423.05,353.43K
2015-01-06,11:15:00,423.10,423.10,421.75,422.25,406.27K
2015-01-06,11:45:00,422.25,422.55,421.50,421.65,253.021K
2015-01-06,12:15:00,421.65,422.30,421.50,422.00,332.84K
2015-01-06,12:45:00,422.00,422.00,421.50,421.70,219.348K
2015-01-06,13:15:00,421.75,422.60,420.00,420.20,657.716K
2015-01-06,13:45:00,420.15,421.10,417.95,418.55,736.549K
2015-01-06,14:15:00,418.85,419.10,416.05,416.15,953.134K
2015-01-06,14:45:00,416.20,416.20,413.55,413.65,1.589M
2015-01-06,15:15:00,413.65,414.55,412.10,412.40,1.115M
2015-01-07,09:15:00,415.05,420.95,414.55,420.65,1.385M
2015-01-07,09:45:00,420.65,422.20,419.35,420.30,845.083K
2015-01-07,10:15:00,420.30,420.80,418.10,419.35,365.711K
2015-01-07,10:45:00,419.35,420.30,417.65,417.70,342.893K
2015-01-07,11:15:00,417.90,419.55,417.30,419.00,477.728K
2015-01-07,11:45:00,419.25,420.25,418.40,418.45,542.433K
2015-01-07,12:15:00,418.50,421.75,417.90,421.25,609.956K
2015-01-07,12:45:00,421.25,423.15,420.85,422.05,745.549K
